"alter_kat";"anteil"
"18-24";"0,0934793980091139"
"25-34";"0,1533428219204877"
"35-44";"0,1443311236972702"
"45-54";"0,1688667774726863"
"55-64";"0,1829218310442083"
"65+";"0,2570580478562335"
