"wkreis_nr";"partei";"titel";"nname";"vname";"geb_jahr";"ges";"beruf";"wohnort";"listenplatz";"alter";"alter_kat";"name";"wkreis_2017_bez";"erststimm_perc";"MdL_2017";"stimme";"wahl"
"66";"GRÜNE";NA;"Eğlence";"Gönül";"1979";"w";"Regionalleiterin einer Bildungsorganisation";"Essen";"19";"43";"35-44 J.";"Gönül Eğlence";NA;NA;"Nein";NA;"Liste"
"84";"GRÜNE";"Dr.";"Korte";"Robin";"1988";"m";"Lebensmittelchemiker";"Münster";"20";"34";"25-34 J.";"Robin Korte";NA;NA;"Nein";NA;"Direkt"
"92";"GRÜNE";NA;"Osei";"Christina";"1966";"w";"Account-Managerin";"Bielefeld";"21";"56";"55-64 J.";"Christina Osei";NA;NA;"Nein";NA;"Liste"
"14";"GRÜNE";NA;"Jablonski";"Frank";"1974";"m";"Büroleiter, Referent";"Köln";"22";"48";"45-54 J.";"Frank Jablonski";NA;NA;"Nein";NA;"Direkt"
"48";"GRÜNE";NA;"Thoms";"Meral";"1971";"w";"Soziologin (Referentin Landesverwaltung)";"Tönisvorst";"23";"51";"45-54 J.";"Meral Thoms";NA;NA;"Nein";NA;"Liste"
"30";"GRÜNE";NA;"Achtermeyer";"Tim";"1993";"m";"Marketing Associate";"Bonn";"24";"29";"25-34 J.";"Tim Achtermeyer";NA;NA;"Nein";NA;"Liste"
"3";"GRÜNE";NA;"Postma";"Laura";"1993";"w";"Psychologin";"Herzogenrath";"25";"29";"25-34 J.";"Laura Postma";NA;NA;"Nein";NA;"Liste"
"69";"GRÜNE";NA;"Matzoll";"Jan";"1985";"m";"Geschäftsführer";"Recklinghausen";"26";"37";"35-44 J.";"Jan Matzoll";NA;NA;"Nein";NA;"Liste"
"74";"GRÜNE";NA;"Bostancieri";"Ilayda";"1995";"w";"Familienhelferin";"Gelsenkirchen";"27";"27";"25-34 J.";"Ilayda Bostancieri";NA;NA;"Nein";NA;"Liste"
"128";"GRÜNE";"Dr.";"Kaiser";"Gregor";"1975";"m";"Land-/Forstwirt & Sozialwissenschaftler";"Lennestadt";"28";"47";"45-54 J.";"Gregor Kaiser";NA;NA;"Nein";NA;"Liste"
"86";"GRÜNE";NA;"Tarner";"Hedwig";"1960";"w";"Dipl.- Geographin";"Warendorf";"29";"62";"55-64 J.";"Hedwig Tarner";NA;NA;"Nein";NA;"Liste"
"47";"GRÜNE";NA;"Rock";"Simon";"1988";"m";"Volkswirt, Projektmanager";"Neuss";"30";"34";"25-34 J.";"Simon Rock";NA;NA;"Nein";NA;"Liste"
"38";"GRÜNE";NA;"Besche-Krastl";"Ina";"1986";"w";"Wissenschaftliche Mitarbeiterin";"Mettmann";"31";"36";"35-44 J.";"Ina Besche-Krastl";NA;NA;"Nein";NA;"Liste"
