"wkreis_nr";"partei";"titel";"nname";"vname";"geb_jahr";"ges";"beruf";"wohnort";"listenplatz";"alter";"alter_kat";"name";"wkreis_2017_bez";"erststimm_perc";"MdL_2017";"stimme";"wahl"
"84";"SPD";NA;"Beer";"Sandra";"1969";"w";"Wirtschaftspsychologin";"Münster";"26";"53";"45-54 J.";"Sandra Beer";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"45";"SPD";NA;"Jansen";"Arno";"1974";"m";"Jurist";"Neuss";"27";"48";"45-54 J.";"Arno Jansen";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"102";"SPD";NA;"Wieners";"Nora";"1992";"w";"Sozialwissenschaftslehrerin";"Warburg";"28";"30";"25-34 J.";"Nora Wieners";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"8";"SPD";NA;"Waasem";"Thilo";"1982";"m";"Volljurist, Steuerfachangestellter";"Bad Münstereifel";"29";"40";"35-44 J.";"Thilo Waasem";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"121";"SPD";NA;"Ihme";"Anja";"1971";"w";"Rektorin im Schuldienst Land NRW";"Iserlohn";"30";"51";"45-54 J.";"Anja Ihme";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"103";"SPD";NA;"Jörg";"Wolfgang";"1963";"m";"Mitglied des Landtages";"Hagen";"31";"59";"55-64 J.";"Wolfgang Jörg";"Hagen I";"39,4";"Ja";"erststimme";"Direkt"
"106";"SPD";"Dr.";"Büteführ";"Nadja";"1966";"w";"Kommunikationswissenschaftlerin";"Herdecke";"32";"56";"55-64 J.";"Nadja Büteführ";"Ennepe-Ruhr-Kreis II";"39,7";"Ja";"erststimme";"Direkt"
"28";"SPD";NA;"Waldästl";"Denis";"1987";"m";"Bankkaufmann";"Sankt Augustin";"33";"35";"35-44 J.";"Denis Waldästl";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"35";"SPD";NA;"Dobbert";"Marina";"1958";"w";"Arbeitsvermittlerin - zurzeit Mitglied des Landtages";"Solingen";"34";"64";"55-64 J.";"Marina Dobbert";NA;NA;"Ja";"zweitstimme";"nicht
ge-
wählt"
"87";"SPD";NA;"Werning";"Frederik";"1990";"m";"Gewerkschaftssekretär";"Ahlen";"35";"32";"25-34 J.";"Frederik Werning";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"72";"SPD";NA;"Kapteinat";"Lisa-Kristin";"1989";"w";"Rechtsanwältin, Mitglied des Landtages";"Castrop-Rauxel";"36";"33";"25-34 J.";"Lisa-Kristin Kapteinat";"Recklinghausen V";"43,8";"Ja";"erststimme";"Direkt"
"54";"SPD";NA;"Aengenvoort";"Lars";"1990";"m";"Sicherheitsingenieur";"Geldern";"37";"32";"25-34 J.";"Lars Aengenvoort";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"25";"SPD";NA;"Zorlu";"Sara";"1985";"w";"Unternehmerin";"Eitorf";"38";"37";"35-44 J.";"Sara Zorlu";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"99";"SPD";"Dr.";"Maelzer";"Dennis";"1980";"m";"Politikwissenschaftler, Mitglied des Landtages";"Detmold";"39";"42";"35-44 J.";"Dennis Maelzer";"Lippe III";"40,9";"Ja";"erststimme";"Direkt"
"107";"SPD";NA;"Busche";"Andrea";"1971";"w";"Erzieherin";"Bochum";"40";"51";"45-54 J.";"Andrea Busche";NA;NA;"Nein";NA;"Direkt"
"120";"SPD";NA;"Behrens";"Jens";"1978";"m";"Filialleiter Sparkasse";"Lippstadt";"41";"44";"35-44 J.";"Jens Behrens";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"51";"SPD";NA;"Gauselmann";"Josephine";"1994";"w";"Wissenschaftliche Mitarbeiterin";"Mönchengladbach";"42";"28";"25-34 J.";"Josephine Gauselmann";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"115";"SPD";NA;"Ganzke";"Hartmut";"1966";"m";"Mitglied des Landtages";"Unna";"43";"56";"55-64 J.";"Hartmut Ganzke";"Unna I";"39,7";"Ja";"erststimme";"Direkt"
"14";"SPD";NA;"Steinmann";"Lisa";"1966";"w";"Veranstaltungskauffrau";"Köln";"44";"56";"55-64 J.";"Lisa Steinmann";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"86";"SPD";NA;"Pomberg";"Ralf";"1973";"m";"Rohmetzmeister";"Beelen";"45";"49";"45-54 J.";"Ralf Pomberg";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"105";"SPD";NA;"Stich";"Kirsten";"1968";"w";"Schulsozialarbeiterin";"Wetter";"46";"54";"45-54 J.";"Kirsten Stich";NA;NA;"Nein";NA;"Direkt"
"60";"SPD";NA;"Yetim";"Ibrahim";"1965";"m";"Mitglied des Landtages";"Moers";"47";"57";"55-64 J.";"Ibrahim Yetim";"Wesel IV";"42,2";"Ja";"erststimme";"Direkt"
"96";"SPD";NA;"Hasler";"Rachel";"1998";"w";"Studentin der Politikwissenschaften";"Verl";"48";"24";"15-24 J.";"Rachel Hasler";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"6";"SPD";NA;"Dobbelstein";"Daniel";"1979";"m";"Geschäftsführer";"Kerpen";"49";"43";"35-44 J.";"Daniel Dobbelstein";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"73";"SPD";NA;"Siebel";"Christin";"1985";"w";"Gewerkschaftssekretärin";"Gelsenkirchen";"50";"37";"35-44 J.";"Christin Siebel";NA;NA;"Nein";NA;"Direkt"
"119";"SPD";NA;"Heemann";"Till";"1989";"m";"Brandschutzingenieur (M.Sc)";"Soest";"51";"33";"25-34 J.";"Till Heemann";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"117";"SPD";NA;"Gosewinkel";"Silvia";"1986";"w";"Logopädin";"Bönen";"52";"36";"35-44 J.";"Silvia Gosewinkel";NA;NA;"Nein";NA;"Direkt"
"23";"SPD";NA;"Peping";"Thorben";"1998";"m";"Student";"Lindlar";"53";"24";"15-24 J.";"Thorben Peping";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"53";"SPD";NA;"Jansen";"Tanja";"1973";"w";"Angestellte";"Nettetal";"54";"49";"45-54 J.";"Tanja Jansen";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"80";"SPD";NA;"Gomes";"Stevens";"1980";"m";"Industriekaufmann";"Greven";"55";"42";"35-44 J.";"Stevens Gomes";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"114";"SPD";NA;"Butschkau";"Anja";"1966";"w";"Dipl.-Sozialarbeiterin";"Dortmund";"56";"56";"55-64 J.";"Anja Butschkau";"Dortmund IV";"38,6";"Ja";"erststimme";"Direkt"
"58";"SPD";NA;"Schneider";"René";"1976";"m";"Mitglied des Landtages";"Kamp-Linfort";"57";"46";"45-54 J.";"René Schneider";"Wesel II";"38,5";"Ja";"erststimme";"Direkt"
"11";"SPD";NA;"Schütten";"Ingrid";"1963";"w";"Dipl.-Musikpädagogin";"Niederzier";"58";"59";"55-64 J.";"Ingrid Schütten";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"100";"SPD";NA;"Sprink";"Michael";"1983";"m";"Bankfachwirt, Immobilienberater";"Salzkotten";"59";"39";"35-44 J.";"Michael Sprink";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"104";"SPD";NA;"Blumenthal";"Ina";"1981";"w";"Journalistin";"Gevelsberg";"60";"41";"35-44 J.";"Ina Blumenthal";NA;NA;"Nein";NA;"Direkt"
"125";"SPD";NA;"Weber";"Hubertus";"1965";"m";"Selbstständig (EDV Schwerpunkt Digitalisierung)";"Brilon";"61";"57";"55-64 J.";"Hubertus Weber";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"33";"SPD";NA;"Engin";"Dilek";"1981";"w";"Oberstudienrätin";"Wuppertal";"62";"41";"35-44 J.";"Dilek Engin";NA;NA;"Nein";NA;"Direkt"
"77";"SPD";NA;"Ricking";"Norbert";"1965";"m";"Theologe";"Gronau";"63";"57";"55-64 J.";"Norbert Ricking";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"3";"SPD";NA;"Voigt-Küppers";"Eva-Maria";"1958";"w";"Staatlich anerkannte Erzieherin, Mitglied des Landtages";"Würselen";"64";"64";"55-64 J.";"Eva-Maria Voigt-Küppers";"Aachen III";"40,0";"Ja";"erststimme";"nicht
ge-
wählt"
"127";"SPD";NA;"Schneider";"Samir";"1984";"m";"CNC-Programmierer";"Bad Laasphe";"65";"38";"35-44 J.";"Samir Schneider";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"69";"SPD";NA;"Kavena";"Anna";"1986";"w";"Dipl.-Sozialpädagogin";"Recklinghausen";"66";"36";"35-44 J.";"Anna Kavena";NA;NA;"Nein";NA;"Direkt"
"32";"SPD";NA;"Bialas";"Andreas";"1968";"m";"Polizist - zurzeit Mitglied des Landtages";"Wuppertal";"67";"54";"45-54 J.";"Andreas Bialas";"Wuppertal II";"34,2";"Ja";"erststimme";"Direkt"
"92";"SPD";NA;"Kampmann";"Christina";"1980";"w";"Dipl.-Verwaltungswirtin, Mitglied des Landtages";"Bielefeld";"68";"42";"35-44 J.";"Christina Kampmann";"Bielefeld I";"40,1";"Ja";"erststimme";"Direkt"
"31";"SPD";NA;"Kunze";"Gabriel";"1981";"m";"Angestellter";"Bonn";"69";"41";"35-44 J.";"Gabriel Kunze";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"113";"SPD";NA;"Lüders";"Nadja";"1970";"w";"Rechtsanwältin";"Dortmund";"70";"52";"45-54 J.";"Nadja Lüders";"Dortmund III";"43,7";"Ja";"erststimme";"Direkt"
"81";"SPD";NA;"Bems";"Dominik";"1983";"m";"Abgeordnetenmitarbeiter";"Rheine";"71";"39";"35-44 J.";"Dominik Bems";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"43";"SPD";NA;"Maus";"Annika";"1987";"w";"Stadtoberinspektorin";"Düsseldorf";"72";"35";"35-44 J.";"Annika Maus";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"85";"SPD";NA;"Kollmann";"Thomas";"1959";"m";"Geschäftsführer";"Münster";"73";"63";"55-64 J.";"Thomas Kollmann";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"89";"SPD";NA;"Weng";"Christina";"1961";"w";"Mitglied des Landtages";"Minden";"74";"61";"55-64 J.";"Christina Weng";"Minden-Lübbecke II";"42,7";"Ja";"erststimme";"Direkt"
"78";"SPD";NA;"Kemper";"Jan";"1980";"m";"Leiter Marketing & Kommunikation";"Heiden";"75";"42";"35-44 J.";"Jan Kemper";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"20";"SPD";NA;"Koepke";"Ariane";"1976";"w";"Zahnärztin";"Leverkusen";"76";"46";"45-54 J.";"Ariane Koepke";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"34";"SPD";NA;"Neumann";"Josef";"1960";"m";"Geschäftsführer - zurzeit Mitglied des Landtages";"Solingen";"77";"62";"55-64 J.";"Josef Neumann";"Wuppertal III – Solingen II";"36,0";"Ja";"erststimme";"Direkt"
"68";"SPD";NA;"Schlupkothen";"Judith";"1981";"w";"Bürokauffrau, Studentin";"Essen";"78";"41";"35-44 J.";"Judith Schlupkothen";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"17";"SPD";NA;"Joisten";"Christian";"1971";"m";"Leiter Customer Relations & Networking";"Köln";"79";"51";"45-54 J.";"Christian Joisten";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"55";"SPD";NA;"Becker";"Christin";"1981";"w";"Fraktionsassistentin";"Bedburg-Hau";"80";"41";"35-44 J.";"Christin Becker";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"70";"SPD";NA;"Löcker";"Carsten";"1961";"m";"Mitglied des Landtages";"Herten";"81";"61";"55-64 J.";"Carsten Löcker";"Recklinghausen II";"39,7";"Ja";"erststimme";"Direkt"
"13";"SPD";NA;"Blümel";"Berit";"1967";"w";"Dipl.-Kauffrau";"Köln";"82";"55";"55-64 J.";"Berit Blümel";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"108";"SPD";"Dr.";"Hartmann";"Bastian";"1984";"m";"Sozialwissenschaftler";"Bochum";"83";"38";"35-44 J.";"Bastian Hartmann";NA;NA;"Nein";NA;"Direkt"
"46";"SPD";NA;"Burdag";"Birgit";"1957";"w";"Gesamtschuldirektorin";"Dormagen";"84";"65";"65-74 J.";"Birgit Burdag";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"111";"SPD";NA;"Stoltze";"Ralf";"1956";"m";"Cutter";"Dortmund";"85";"66";"65-74 J.";"Ralf Stoltze";NA;NA;"Nein";NA;"Direkt"
"27";"SPD";NA;"Peters";"Anna";"1985";"w";"Online-Marketing-Managerin";"Bornheim";"86";"37";"35-44 J.";"Anna Peters";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"116";"SPD";NA;"Schmeltzer";"Rainer";"1961";"m";"Gewerkschaftssekretär";"Lünen";"87";"61";"55-64 J.";"Rainer Schmeltzer";"Unna II";"41,8";"Ja";"erststimme";"Direkt"
"49";"SPD";NA;"Nowak";"Katharina";"1984";"w";"Dipl.-Theologin";"Krefeld";"88";"38";"35-44 J.";"Katharina Nowak";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"93";"SPD";NA;"Akay";"Nesrettin";"1974";"m";"Fahrlehrer";"Bielefeld";"89";"48";"45-54 J.";"Nesrettin Akay";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"59";"SPD";NA;"Löwenstein";"Kerstin";"1958";"w";"Dipl.-Forstwirtin";"Hamminkeln";"90";"64";"55-64 J.";"Kerstin Löwenstein";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"75";"SPD";NA;"Göddertz";"Thomas";"1960";"m";"Dipl.-Kaufmann";"Bottrop";"91";"62";"55-64 J.";"Thomas Göddertz";"Bottrop";"40,7";"Ja";"erststimme";"Direkt"
"2";"SPD";NA;"Wallraff";"Renate";"1973";"w";"Dipl.-Sozialpädagogin";"Aachen";"92";"49";"45-54 J.";"Renate Wallraff";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"74";"SPD";NA;"Watermeier";"Sebastian";"1984";"m";"Mitglied des Landtages";"Gelsenkirchen";"93";"38";"35-44 J.";"Sebastian Watermeier";"Gelsenkirchen II";"42,6";"Ja";"erststimme";"Direkt"
"67";"SPD";NA;"Kahle-Hausmann";"Julia";"1971";"w";"Beraterin Organisationsentwicklung";"Essen";"94";"51";"45-54 J.";"Julia Kahle-Hausmann";NA;NA;"Nein";NA;"Direkt"
"109";"SPD";NA;"Yüksel";"Serdar";"1973";"m";"Krankenpfleger";"Bochum";"95";"49";"45-54 J.";"Serdar Yüksel";"Bochum III – Herne II";"41,5";"Ja";"erststimme";"Direkt"
"16";"SPD";NA;"Teschlade";"Lena";"1988";"w";"Sozialarbeiterin";"Köln";"96";"34";"25-34 J.";"Lena Teschlade";NA;NA;"Nein";NA;"Direkt"
"112";"SPD";NA;"Baran";"Volkan";"1978";"m";"Angestellter";"Dortmund";"97";"44";"35-44 J.";"Volkan Baran";"Dortmund II";"39,1";"Ja";"erststimme";"Direkt"
"26";"SPD";"Dr.";"Echterhoff-Nikolidakis";"Charlotte";"1985";"w";"Wissenschaftliche Referentin";"Sankt Augustin";"98";"37";"35-44 J.";"Charlotte Echterhoff-Nikolidakis";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"88";"SPD";NA;"Schröder";"Andreas";"1968";"m";"Polizeibeamter";"Lübbecke";"99";"54";"45-54 J.";"Andreas Schröder";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"10";"SPD";NA;"Simons";"Heike";"1971";"w";"Altenpflegerin";"Wassenberg";"100";"51";"45-54 J.";"Heike Simons";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"110";"SPD";NA;"Vogt";"Alexander";"1978";"m";"Journalist, Mitglied des Landtages";"Herne";"101";"44";"35-44 J.";"Alexander Vogt";"Herne I";"46,8";"Ja";"erststimme";"Direkt"
"19";"SPD";NA;"Kirsch";"Carolin";"1967";"w";"Beamtin Land NRW";"Köln";"102";"55";"55-64 J.";"Carolin Kirsch";NA;NA;"Nein";NA;"Direkt"
"42";"SPD";NA;"Schreiber";"Oliver";"1982";"m";"Regierungsdirektor";"Düsseldorf";"103";"40";"35-44 J.";"Oliver Schreiber";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"56";"SPD";NA;"Bongers";"Sonja";"1976";"w";"Rechtsanwältin";"Oberhausen";"104";"46";"45-54 J.";"Sonja Bongers";"Oberhausen I";"41,4";"Ja";"erststimme";"Direkt"
"52";"SPD";NA;"Maaßen";"Lukas";"1991";"m";"Politikwissenschaftler";"Willich";"105";"31";"25-34 J.";"Lukas Maaßen";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"1";"SPD";"Dr.";"van den Hurk";"Jan";"1981";"m";"Ingenieur";"Aachen";"106";"41";"35-44 J.";"Jan van den Hurk";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"37";"SPD";NA;"Nasemann";"Marc";"1983";"m";"Koch";"Langenfeld";"107";"39";"35-44 J.";"Marc Nasemann";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"29";"SPD";NA;"Schmidt";"Oliver";"1972";"m";"Sparkassenbetriebswirt";"Siegburg";"108";"50";"45-54 J.";"Oliver Schmidt";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"101";"SPD";NA;"Voigtländer";"Roger";"1963";"m";"Angestellter/Niederlassungsleiter";"Paderborn";"109";"59";"55-64 J.";"Roger Voigtländer";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"50";"SPD";NA;"Roth";"Michael";"1988";"m";"Rechtsanwalt";"Mönchengladbach";"110";"34";"25-34 J.";"Michael Roth";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"12";"SPD";NA;"Dichant";"Maximilian";"1992";"m";"Projektleiter";"Düren";"111";"30";"25-34 J.";"Maximilian Dichant";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"38";"SPD";NA;"Stascheit";"Matthias";"1982";"m";"Polizeibeamter";"Mettmann";"112";"40";"35-44 J.";"Matthias Stascheit";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"24";"SPD";NA;"Schneider";"Tobias";"1982";"m";"Heilerziehungspfleger";"Morsbach";"113";"40";"35-44 J.";"Tobias Schneider";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"44";"SPD";NA;"Bohrmann";"Jürgen";"1960";"m";"Kraftwerksmeister";"Düsseldorf";"114";"62";"55-64 J.";"Jürgen Bohrmann";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"7";"SPD";NA;"Odabasi";"Halil";"1979";"m";"Beamter";"Wesseling";"115";"43";"35-44 J.";"Halil Odabasi";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"40";"SPD";NA;"Söyler";"Cüneyt";"1987";"m";"wissenschaftlicher Mitarbeiter";"Velbert";"116";"35";"35-44 J.";"Cüneyt Söyler";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"5";"SPD";NA;"Coumanns";"Bernd";"1975";"m";"Angestellter";"Bedburg";"117";"47";"45-54 J.";"Bernd Coumanns";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"47";"SPD";NA;"Knuppertz";"Marcel";"1992";"m";"Lehrer";"Korschenbroich";"118";"30";"25-34 J.";"Marcel Knuppertz";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"95";"SPD";NA;"Schneidt";"Stefan";"2000";"m";"Student der Politik- & Rechtswissenschaften";"Gütersloh";"119";"22";"15-24 J.";"Stefan Schneidt";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"18";"SPD";NA;"Schuster";"Florian";"1993";"m";"Volkswirt";"Köln";"120";"29";"25-34 J.";"Florian Schuster";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"64";"SPD";NA;"Bakum";"Rodion";"1990";"m";"Arzt";"Mülheim an der Ruhr";"121";"32";"25-34 J.";"Rodion Bakum";NA;NA;"Nein";NA;"Direkt"
"98";"SPD";NA;"Baer";"Alexander";"1975";"m";"Sparkassenbetriebswirt";"Lemgo";"122";"47";"45-54 J.";"Alexander Baer";NA;NA;"Nein";NA;"Direkt"
"91";"SPD";NA;"Obrok";"Christian";"1977";"m";"Wissenschaftlicher Mitarbeiter, Diplo-Pädagoge";"Bünde";"123";"45";"45-54 J.";"Christian Obrok";NA;NA;"Nein";NA;"Direkt"
"66";"SPD";NA;"Müller";"Frank";"1977";"m";"Mitglied des Landtages";"Essen";"124";"45";"45-54 J.";"Frank Müller";"Essen II";"39,9";"Ja";"erststimme";"Direkt"
"22";"SPD";NA;"Lemmer";"Sebastian";"1981";"m";"Gastronom";"Leichlingen";"125";"41";"35-44 J.";"Sebastian Lemmer";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"94";"SPD";NA;"Klute";"Thorsten";"1974";"m";"Volljurist, Vorstand";"Versmold";"126";"48";"45-54 J.";"Thorsten Klute";NA;NA;"Nein";NA;"Direkt"
"57";"SPD";NA;"Zimkeit";"Stefan";"1964";"m";"Mitglied des Landtages";"Oberhausen";"127";"58";"55-64 J.";"Stefan Zimkeit";"Oberhausen II – Wesel I";"41,7";"Ja";"erststimme";"Direkt"
"62";"SPD";NA;"Falszewski";"Benedikt";"1982";"m";"Sachbearbeiter";"Duisburg";"128";"40";"35-44 J.";"Benedikt Falszewski";NA;NA;"Nein";NA;"Direkt"
"63";"SPD";NA;"Börner";"Frank";"1966";"m";"Kfm. Angestellter";"Duisburg";"129";"56";"55-64 J.";"Frank Börner";"Duisburg IV – Wesel V";"41,6";"Ja";"erststimme";"Direkt"
"2";"DIE LINKE";NA;"Gvozden";"Igor";"1992";"m";"Elektroingenieur";"Aachen";NA;"30";"25-34 J.";"Igor Gvozden";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"2";"GRÜNE";NA;"Nießen";"Henning";"1994";"m";"Student";"Aachen";NA;"28";"25-34 J.";"Henning Nießen";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"3";"AfD";NA;"Upadek";"Elisabeth";"1958";"w";"Rentnerin";"Eschweiler";NA;"64";"55-64 J.";"Elisabeth Upadek";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"3";"DIE LINKE";NA;"Müller";"Florian";"1998";"m";"Student";"Herzogenrath";NA;"24";"15-24 J.";"Florian Müller";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"4";"AfD";NA;"Winterich";"Michael";"1977";"m";"Selbstständig";"Eschweiler";NA;"45";"45-54 J.";"Michael Winterich";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"4";"DIE LINKE";NA;"Dunker";"Darius";"1970";"m";"Sachbearbeiter";"Aachen";NA;"52";"45-54 J.";"Darius Dunker";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"5";"AfD";NA;"Pesch";"Franz";"1961";"m";"Selbstständiger Kaufmann";"Pulheim";NA;"61";"55-64 J.";"Franz Pesch";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"5";"GRÜNE";NA;"Özdemir";"Ahmet";"1975";"m";"Lehrbeauftragter";"Kerpen";NA;"47";"45-54 J.";"Ahmet Özdemir";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"6";"AfD";NA;"Gonska";"Peter";"1977";"m";"Stadtarbeiter";"Hürth";NA;"45";"45-54 J.";"Peter Gonska";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"6";"DIE LINKE";NA;"Singer";"Peter";"1955";"m";"grad. Verwaltungswirt";"Frechen";NA;"67";"65-74 J.";"Peter Singer";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"7";"AfD";NA;"Raatz";"Norbert";"1965";"m";"Selbstständiger Kaufmann";"Hürth";NA;"57";"55-64 J.";"Norbert Raatz";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"7";"DIE LINKE";NA;"Papel";"Simon";"1980";"m";"IT-Projektleiter";"Wesseling";NA;"42";"35-44 J.";"Simon Papel";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"7";"GRÜNE";NA;"Spicale";"Simone";"1968";"w";"Selbstständig";"Brühl";NA;"54";"45-54 J.";"Simone Spicale";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"8";"AfD";NA;"Poll";"Frank";"1973";"m";"Kaufmann";"Kall";NA;"49";"45-54 J.";"Frank Poll";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"8";"DIE LINKE";NA;"Bell";"Thomas";"1966";"m";"Beamter";"Bad Münstereifel";NA;"56";"55-64 J.";"Thomas Bell";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"9";"AfD";NA;"Tabakman";"Igor";"1973";"m";"Industriekaufmann";"Heinsberg";NA;"49";"45-54 J.";"Igor Tabakman";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"9";"DIE LINKE";NA;"Winkowski";"Max";"1998";"m";"Student";"Übach-Palenberg";NA;"24";"15-24 J.";"Max Winkowski";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"10";"AfD";NA;"Spenrath";"Jürgen";"1956";"m";"Kfm. Angestellter";"Erkelenz";NA;"66";"65-74 J.";"Jürgen Spenrath";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"10";"DIE LINKE";NA;"Staeck";"Manuel";"1975";"m";"Elektriker";"Hückelhoven";NA;"47";"45-54 J.";"Manuel Staeck";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"10";"GRÜNE";NA;"Mank";"Paul";"1989";"m";"Sozialarbeiter";"Wassenberg";NA;"33";"25-34 J.";"Paul Mank";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"11";"AfD";NA;"Essler";"Bernd";"1949";"m";"Unternehmensberater";"Düren";NA;"73";"65-74 J.";"Bernd Essler";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"11";"DIE LINKE";NA;"Mörsch";"Mihaela";"1960";"w";"Dipl.-Ingenieurin";"Aldenhoven";NA;"62";"55-64 J.";"Mihaela Mörsch";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"11";"GRÜNE";NA;"Ollech";"Oliver";"1966";"m";"Dipl.-Informatiker";"Jülich";NA;"56";"55-64 J.";"Oliver Ollech";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"12";"CDU";"Dr.";"Nolten";"Ralf";"1964";"m";"Dr. Agronomiae, Mitglied des Landtages";"Kreuzau";NA;"58";"55-64 J.";"Ralf Nolten";"Düren II – Euskirchen II";"44,0";"Ja";"erststimme";"Direkt"
"12";"DIE LINKE";NA;"Wallbaum";"Kai";"1964";"m";"Student";"Düren";NA;"58";"55-64 J.";"Kai Wallbaum";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"13";"AfD";NA;"Leitterstorf";"Luca";"1996";"m";"Unternehmer";"Köln";NA;"26";"25-34 J.";"Luca Leitterstorf";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"14";"AfD";NA;"Ferdinand";"Heribert";"1964";"m";"Selbstständiger Unternehmer";"Köln";NA;"58";"55-64 J.";"Heribert Ferdinand";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"14";"CDU";NA;"Petelkau";"Bernd";"1965";"m";"Mitglied des Landtages";"Köln";NA;"57";"55-64 J.";"Bernd Petelkau";"Köln II";"37,0";"Ja";"erststimme";"nicht
ge-
wählt"
"15";"AfD";NA;"Cremer";"Christer";"1982";"m";"Wissenschaftlicher Mitarbeiter";"Köln";NA;"40";"35-44 J.";"Christer Cremer";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"15";"DIE LINKE";NA;"Köhler Pinzón";"Christian";"2000";"m";"Studierender";"Köln";NA;"22";"15-24 J.";"Christian Köhler Pinzón";NA;NA;"Nein";NA;"nicht
ge-
wählt"
